3:00pm,Transfer to airport,Fiumicino,"Leonardo Express train (30 min, €16) or shuttle"
5:00pm,Check in,Rome Fiumicino Airport,"3 hours early for international flight"
8:00pm,Depart Rome,FCO-SYD flight,"Etihad EY452 or return service, 11:10am departure"

ACCOMMODATION OPTIONS
Hotel Name,Rating,Cost/Night,Booking Link
Hotel Artemide,4-star,"AUD $300-350","Booking.com"
Colonna Palace Hotel,4-star,"AUD $280-320","Hotels.com"
Hotel Nazionale,4-star,"AUD $250-300","Expedia"

===== TAB 13: BOOKING CHECKLIST & TIMELINE =====

IMMEDIATE (NOW - April 2026)
Task,Priority,Deadline,Details
Set up flight alerts,"CRITICAL","Ongoing","Google Flights, Skyscanner, Etihad.com, Emirates.com"
Research La Barbera,"CRITICAL","April-May 2026","Check 2027 availability, save website"
Research Tuscany villas,"CRITICAL","April-May 2026","Contact COMO, Villa Le Fontanelle, Viesca Toscana"
Contact Palio operators,"CRITICAL","April-May 2026","Email paliodisiena.tickets, tickitaly.com, paliotours.com for 2027 packages"

MAY 2027
Task,Priority,Deadline,Details
Monitor flight alerts,"CRITICAL","May 1-31","Watch for flash sales, Etihad deals"
Palio packages released,"CRITICAL","May 1-15","2027 packages go on sale, book hotel + Palio tickets together"
Book La Barbera,"CRITICAL","May 1-15","Call/email labarbera.it, confirm 3 nights (Aug 10-11)"
Book Tuscany villa,"CRITICAL","May 15-31","Reserve 8 nights (Aug 12-19) with car rental"

JUNE 2027
Task,Priority,Deadline,Details
Book flights,"CRITICAL","June 1-15","Best pricing window, 2 months ahead, Etihad or Emirates"
Book train tickets,"HIGH","June 15-30","Trenitalia/Omio: Rome-Naples, Naples-Salerno, Florence-Siena, Milano-Venice, Venice-Roma"
Car rental,"HIGH","June 20-30","Hertz/Avis/Europcar, Florence pick-up, Siena drop-off, 8 days"
Book all hotels (excluding booked),"HIGH","June 20-30","Rome (2), Naples (2), Minori (2), Amalfi (3), Milan (2), Venice (3)"
Capri boat tour,"MEDIUM","June 20-30","Private boat snorkelling, Viator/GetYourGuide, Aug 8"
Pompeii tour,"MEDIUM","June 20-30","Skip-the-line, GetYourGuide/Viator, Aug 4"
Reserve restaurants,"MEDIUM","June 20-30","Michelin-starred Milan, Palio dinner alternatives, Venice"

JULY 2027
Task,Priority,Deadline,Details
Confirm all bookings,"HIGH","July 1-15","Call hotels, airlines, rental car, tours to confirm"
Check luggage allowance,"MEDIUM","July 15-31","Confirm airline baggage, pack accordingly"
Travel insurance,"MEDIUM","July 20-31","Cover flights, trip cancellation, medical"
Final itinerary,"MEDIUM","July 25-31","Print/save all confirmation numbers, hotel info, contact details"

AUGUST 2027
Task,Priority,Deadline,Details
Depart Sydney,"CRITICAL","July 31, 7:05pm","Etihad QF5 or Qantas QF5"
Enjoy trip!,"CRITICAL","Aug 1-28","Document with photos, enjoy every moment"
Return Sydney,"CRITICAL","Aug 28, 8:00pm","Flight departs Rome, arrive Aug 30 evening"

===== TOTAL TRIP COST BREAKDOWN =====

CATEGORY,COST RANGE,ESTIMATED COST
Flights (Etihad Business),AUD $3500-4500,AUD $4000
Accommodation (10 properties),"AUD $16,000-21,000",AUD $18,500
Car Rental (8 days),AUD $350-500,AUD $400
Trains & Local Transport,AUD $400-800,AUD $600
Tours & Experiences,AUD $1000-1500,AUD $1250
Meals (mix of fine & casual),AUD $3000-5000,AUD $4000
Palio Tickets + Dinner,AUD $800-1200,AUD $1000
Miscellaneous (tips, souvenirs),AUD $500-1000,AUD $750
TOTAL BUDGET,"AUD $25,550-34,500","AUD $30,500"

NOTE: This is mid-to-high budget estimate. Can reduce by choosing cheaper airlines (Singapore Airlines ~$2000-3000) or budget accommodations in some cities. Can increase for premium luxury villa options or private tours.

===== END OF ITINERARY =====
Export this to Google Sheets for interactive planning, notes, and tracking
